Transaction_ID,Card_Type,Merchant_Category,Transaction_Amount,Transaction_DateTime,Location,Region,Cardholder_Age,Cardholder_Gender,Cardholder_Monthly_Income,Cardholder_Average_Spend,Credit_Limit,Device_Type,Day_of_Week,Is_Fraudulent
W963UK57,Mastercard,Utility bill,27214.0,2020-01-01 09:43:17,Patna,East,23.0,Female,94632.0,36369.65,100000.0,Unknown,Wednesday,No
V606KV56,American Express,Retail,83956.0,2020-01-03 16:26:13,Surat,West,49.0,Male,148118.0,89179.12,150000.0,Desktop,Friday,No
R531NU70,Visa,Transportation,193280.0,2020-01-04 03:40:49,Patna,East,,Male,210921.0,106668.6,200000.0,Desktop,Saturday,No
T783GF79,RuPay,Online Shopping,167381.0,2020-01-04 14:56:24,Surat,West,52.0,Female,148070.0,173155.52,200000.0,Desktop,Saturday,Yes
K256ZN73,RuPay,Retail,81170.0,2020-01-04 17:26:47,Lucknow,North,37.0,Female,174470.0,52713.09,200000.0,Mobile,Saturday,No
I812SG19,RuPay,Entertainment,131918.0,2020-01-04 19:55:12,Mumbai,West,80.0,Male,166671.0,80393.44,150000.0,Point-of-Sale Terminal,Saturday,No
Y182UO40,Visa,Retail,139036.0,2020-01-05 16:33:10,Surat,West,33.0,Male,171991.0,84215.74,150000.0,Desktop,Sunday,Yes
R809YU99,RuPay,Online Shopping,49967.0,2020-01-05 19:37:50,Surat,West,46.0,Female,56248.0,45671.98,50000.0,Point-of-Sale Terminal,Sunday,No
Q473IV29,Mastercard,Entertainment,44528.0,2020-01-05 19:55:48,Kolkata,East,44.0,Male,93854.0,29653.72,100000.0,Unknown,Sunday,No
V841LV15,Mastercard,Retail,29587.0,2020-01-05 23:30:04,Patna,East,77.0,Female,55448.0,22530.16,50000.0,Point-of-Sale Terminal,Sunday,No
D105RT88,RuPay,Education,63687.0,2020-01-07 09:57:23,Kolkata,East,60.0,Female,169305.0,59005.49,150000.0,Contactless Payment Device,Tuesday,No
Z447QC37,Mastercard,Entertainment,184612.0,2020-01-07 17:52:01,Bengaluru,South,79.0,Male,280150.0,114795.35,200000.0,Desktop,Tuesday,No
G775SE48,Visa,Retail,33611.0,2020-01-07 19:39:07,Jaipur,North,40.0,Male,104930.0,37604.47,100000.0,Point-of-Sale Terminal,Tuesday,No
D458ZJ45,Mastercard,Online Shopping,50601.0,2020-01-08 14:35:46,Patna,East,61.0,Female,118139.0,55435.8,100000.0,Desktop,Wednesday,No
U874IJ53,Mastercard,Entertainment,41551.0,2020-01-09 02:02:36,Hyderabad,South,73.0,Male,134547.0,32709.92,100000.0,Contactless Payment Device,Thursday,No
U862TL39,Visa,Dining,88069.0,2020-01-09 09:46:29,Kolkata,East,34.0,Male,126542.0,91645.94,150000.0,Contactless Payment Device,Thursday,No
K600SP98,Mastercard,Entertainment,40066.0,2020-01-09 13:08:29,Lucknow,North,70.0,Male,56209.0,17095.23,50000.0,Contactless Payment Device,Thursday,No
V952ZM94,Mastercard,Education,48136.0,2020-01-11 04:37:45,Jaipur,North,18.0,,42973.0,43600.78,50000.0,Point-of-Sale Terminal,Saturday,No
M619QW83,Visa,Utility bill,28879.0,2020-01-11 05:55:26,Surat,West,45.0,Male,105035.0,25541.32,100000.0,Desktop,Saturday,No
D345EF37,Visa,Retail,36238.0,2020-01-11 11:48:45,Kochi,South,39.0,Female,299154.0,15010.84,200000.0,Desktop,Saturday,No
R798BS81,RuPay,Dining,142896.0,2020-01-11 17:39:38,Chennai,South,69.0,Male,106545.0,119433.17,150000.0,Contactless Payment Device,Saturday,No
A109AO45,RuPay,Dining,49726.0,2020-01-11 19:34:01,Chennai,South,47.0,Male,37379.0,26684.14,50000.0,Point-of-Sale Terminal,Saturday,No
T374VD63,Visa,Online Shopping,131311.0,2020-01-12 16:31:56,Chennai,South,52.0,Male,290396.0,174459.39,200000.0,Desktop,Sunday,No
G960DQ79,American Express,Transportation,55740.0,2020-01-12 19:05:22,Kochi,South,28.0,Female,278123.0,40237.57,200000.0,Contactless Payment Device,Sunday,Yes
S968DK40,Mastercard,Retail,49647.0,2020-01-12 19:41:05,Pune,West,30.0,Male,42234.0,27362.31,50000.0,Contactless Payment Device,Sunday,No
H633FR55,Visa,Healthcare,65469.0,2020-01-12 20:45:35,Hyderabad,South,65.0,Male,189117.0,34856.0,150000.0,Point-of-Sale Terminal,Sunday,No
W930CF35,Visa,Online Shopping,48618.0,2020-01-13 10:54:35,Mumbai,West,70.0,Male,,43816.13,50000.0,Point-of-Sale Terminal,Monday,No
K438MR76,Mastercard,Online Shopping,51205.0,2020-01-13 11:07:51,Bengaluru,South,31.0,Female,126182.0,40468.63,150000.0,Contactless Payment Device,Monday,No
O235CR65,Mastercard,Online Shopping,124937.0,2020-01-13 12:10:15,Mumbai,West,39.0,Female,165437.0,,200000.0,Contactless Payment Device,Monday,No
R607MR12,Mastercard,Utility bill,186440.0,2020-01-14 07:50:19,Chennai,South,55.0,Male,279709.0,149542.17,200000.0,Contactless Payment Device,Tuesday,No
E838XV96,American Express,,60608.0,2020-01-14 12:33:01,Ahmedabad,West,37.0,Female,210943.0,52722.29,150000.0,Contactless Payment Device,Tuesday,Yes
X788OZ57,American Express,Retail,40458.0,2020-01-15 03:33:27,Kolkata,East,60.0,Male,169992.0,52810.01,200000.0,Unknown,Wednesday,No
M530OA96,Mastercard,Education,31352.0,2020-01-15 13:42:48,Kolkata,East,37.0,Male,136941.0,13681.1,100000.0,Unknown,Wednesday,Yes
H453DW81,Visa,Online Shopping,44347.0,2020-01-15 16:15:34,Patna,East,40.0,Female,84214.0,51803.38,100000.0,Unknown,Wednesday,No
D720PB38,Mastercard,Retail,82174.0,2020-01-15 17:11:28,Patna,East,65.0,Male,200610.0,,200000.0,Contactless Payment Device,Wednesday,Yes
I352LO33,RuPay,Dining,118066.0,2020-01-15 23:39:55,Delhi,North,62.0,Female,,77139.6,150000.0,Desktop,Wednesday,No
U126MF74,Visa,Utility bill,37988.0,2020-01-16 14:33:00,Bengaluru,South,48.0,Female,140578.0,24985.96,100000.0,Point-of-Sale Terminal,Thursday,No
Z101AE11,RuPay,Healthcare,95314.0,2020-01-17 07:09:08,Mumbai,West,52.0,Female,87668.0,85765.51,100000.0,Point-of-Sale Terminal,Friday,No
A636CG74,Visa,Retail,97354.0,2020-01-17 10:45:03,Bengaluru,South,52.0,Female,162276.0,91993.39,150000.0,Desktop,Friday,Yes
D652EV83,Visa,Utility bill,31917.0,2020-01-17 13:22:01,Hyderabad,South,26.0,Female,43977.0,41311.31,50000.0,Mobile,Friday,Yes
L618QT94,Visa,Transportation,74869.0,2020-01-17 23:53:34,Surat,West,48.0,Female,108255.0,103955.84,150000.0,Desktop,Friday,No
M214ID28,RuPay,Entertainment,126505.0,2020-01-18 17:14:24,Surat,West,55.0,Male,253457.0,129105.54,200000.0,Point-of-Sale Terminal,Saturday,No
D383MN69,Visa,Online Shopping,50568.0,2020-01-18 22:42:55,Bengaluru,South,62.0,Female,,21367.47,100000.0,Point-of-Sale Terminal,Saturday,No
G828SG49,Visa,Online Shopping,126038.0,2020-01-19 10:26:27,Lucknow,North,60.0,Male,141066.0,159364.5,200000.0,Contactless Payment Device,Sunday,Yes
T515NX53,Visa,Healthcare,67500.0,2020-01-20 00:08:07,Lucknow,North,34.0,Female,89986.0,66200.54,100000.0,Unknown,Monday,No
I970BV35,Mastercard,Entertainment,38794.0,2020-01-20 06:26:14,Pune,West,26.0,Male,126302.0,20325.7,150000.0,Unknown,Monday,No
